"SN","STDG_CD","CTPV_NM","SGG_NM","EMD_NM","LI_NM","SORT_NO","CRT_YMD","DEL_YMD","LCLGV_CD","CTPV_ENG_NM","SGG_ENG_NM","EMD_ENG_NM","LI_ENG_NM"
16530,"5013025923",제주특별자치도,서귀포시,성산읍,시흥리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Seongsan-eup,Siheung-ri
16531,"5013025924",제주특별자치도,서귀포시,성산읍,고성리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Seongsan-eup,Goseong-ri
16532,"5013025925",제주특별자치도,서귀포시,성산읍,수산리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Seongsan-eup,Susan-ri
16533,"5013025926",제주특별자치도,서귀포시,성산읍,온평리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Seongsan-eup,Onpyeong-ri
16534,"5013025927",제주특별자치도,서귀포시,성산읍,신산리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Seongsan-eup,Sinsan-ri
16535,"5013025928",제주특별자치도,서귀포시,성산읍,삼달리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Seongsan-eup,Samdal-ri
16536,"5013025929",제주특별자치도,서귀포시,성산읍,신풍리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Seongsan-eup,Sinpung-ri
16537,"5013025930",제주특별자치도,서귀포시,성산읍,신천리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Seongsan-eup,Sincheon-ri
16538,"5013025931",제주특별자치도,서귀포시,성산읍,난산리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Seongsan-eup,Nansan-ri
16539,"5013031000",제주특별자치도,서귀포시,안덕면,,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,
16540,"5013031001",제주특별자치도,서귀포시,안덕면,대평리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Daepyeong-ri
16541,"5013031021",제주특별자치도,서귀포시,안덕면,화순리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Hwasun-ri
16542,"5013031022",제주특별자치도,서귀포시,안덕면,창천리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Changcheon-ri
16543,"5013031023",제주특별자치도,서귀포시,안덕면,감산리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Gamsan-ri
16544,"5013031024",제주특별자치도,서귀포시,안덕면,상창리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Sangchang-ri
16545,"5013031025",제주특별자치도,서귀포시,안덕면,사계리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Sagye-ri
16546,"5013031026",제주특별자치도,서귀포시,안덕면,덕수리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Deoksu-ri
16547,"5013031027",제주특별자치도,서귀포시,안덕면,서광리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Seogwang-ri
16548,"5013031028",제주특별자치도,서귀포시,안덕면,동광리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Donggwang-ri
16549,"5013031029",제주특별자치도,서귀포시,안덕면,광평리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Gwangpyeong-ri
16550,"5013031030",제주특별자치도,서귀포시,안덕면,상천리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Andeok-myeon,Sangcheon-ri
16551,"5013032000",제주특별자치도,서귀포시,표선면,,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Pyoseon-myeon,
16552,"5013032021",제주특별자치도,서귀포시,표선면,표선리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Pyoseon-myeon,Pyoseon-ri
13011,"5013032024",제주특별자치도,서귀포시,표선면,가시리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Pyoseon-myeon,Gasi-ri
13012,"5013032025",제주특별자치도,서귀포시,표선면,세화리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Pyoseon-myeon,Sehwa-ri
13013,"5013032026",제주특별자치도,서귀포시,표선면,토산리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Pyoseon-myeon,Tosan-ri
12818,"5013032023",제주특별자치도,서귀포시,표선면,성읍리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Pyoseon-myeon,Seongeup-ri
12817,"5013032022",제주특별자치도,서귀포시,표선면,하천리,1,"20060701",,"6520000",Jeju Special Self-Governing Province,Seogwipo-si,Pyoseon-myeon,Hacheon-ri
