이전TABLE_NAME	NEW_TABLE_NAME	11자리TABLE_NAME	이전Comment	NEW_Comment	컬럼수
TM_GD23012	TM_GD23012	TM_GD013012	데이터검색	데이터검색	10
TM_GD23013	TM_GD23013	TM_GD013013	데이터검색 조회 로그	데이터검색_조회이력	5
TM_GD23014	TM_GD23014	TM_GD013014	데이터검색 다운로드 로그	데이터검색_다운로드이력	5
TM_GD23015	TM_GD23015	TM_GD013015	빅데이터오픈API	빅데이터오픈API	7
TM_GD23016	TM_GD23016	TM_GD013016	빅데이터공모전-첨부파일	빅데이터공모전_첨부파일	7
TM_GD23018	TM_GD23018	TM_GD013018	빅데이터뉴스분석	빅데이터뉴스분석	9
TM_GD23019	TM_GD23019	TM_GD013019	빅데이터뉴스분석정보	빅데이터뉴스분석정보	13
TM_GD23020	TM_GD23020	TM_GD013020	빅데이터뉴스스크랩	빅데이터뉴스스크랩	14
TM_GD23021	TM_GD23021	TM_GD013021	빅데이터뉴스정보연관키워드	빅데이터뉴스정보연관키워드	9
TM_GD23022	TM_GD23022	TM_GD013022	빅데이터뉴스허용어불용어	빅데이터뉴스허용어불용어	8
TM_GD30001	TM_GD30001	TM_GD110001	관측망현장점검계획	관측망현장점검계획	5
TM_GD30101	TM_GD30101	TM_GD110101	관측망현장점검결과	관측망현장점검결과	18
TM_GD30102	TM_GD30102	TM_GD110102	관측망현장점검결과관정정보	관측망현장점검결과관정정보	8
TM_GD30103	TM_GD30103	TM_GD110103	관측망현장점검결과센서	관측망현장점검결과센서	36
TM_GD30104	TM_GD30104	TM_GD110104	관측망현장점검결과텔리메타링	관측망현장점검결과텔리메타링	10
TM_GD30105	TM_GD30105	TM_GD110105	관측망현장점검결과전원상용전원	관측망현장점검결과전원상용전원	14
TM_GD30106	TM_GD30106	TM_GD110106	관측망현장점검결과전원태양전지	관측망현장점검결과전원태양전지	15
TM_GD30107	TM_GD30107	TM_GD110107	관측망현장점검결과로거	관측망현장점검결과로거	13
TM_GD30108	TM_GD30108	TM_GD110108	관측망현장점검결과결측사유	관측망현장점검결과결측사유	10
TM_GD30109	TM_GD30109	TM_GD110109	관측망현장점검결과장비이력	관측망현장점검결과장비이력	4
TM_GD30110	TM_GD30110	TM_GD110110	관측망장비	관측망장비	19
TM_GD30111	TM_GD30111	TM_GD110111	관측망현장점검결과수시료채취	관측망현장점검결과수시료채취	8
TM_GD30112	TM_GD30112	TM_GD110112	수질측정망검사결과확정	수질측정망검사결과확정	4
TM_GD30201	TM_GD30201	TM_GD110201	관측망관측소설치인허가현황	관측망관측소설치인허가현황	38
TM_GD30202	TM_GD30202	TM_GD110202	관측망토지사용이력	관측망토지사용이력	6
TM_GD30203	TM_GD30203	TM_GD110203	관측망전기탐사측점	관측망전기탐사측점	6
TM_GD30204	TM_GD30204	TM_GD110204	관측망전기탐사	관측망전기탐사	15
TM_GD30210	TM_GD30210	TM_GD110210	관측망재수신이벤트	관측망재수신이벤트	3
TM_GD30213	TM_GD30213	TM_GD110213	관측망간이수질검사결과	관측망간이수질검사결과	12
TM_GD30214	TM_GD30214	TM_GD110214	관측망방문자기록	관측망방문자기록	5
TM_GD30301	TM_GD30301	TM_GD110301	수질측정망검사개요	수질측정망검사개요	22
TM_GD30302	TM_GD30302	TM_GD110302	수질측정망검사결과	수질측정망검사결과	3
TM_GD30303	TM_GD30303	TM_GD110303	보조관측망수질검사개요	보조관측망수질검사개요	6
TM_GD30310	TM_GD30310	TM_GD110310	수질검사항목별기준	수질검사항목별기준	15
TM_GD30311	TM_GD30311	TM_GD110311	수질검사초과지점	수질검사초과지점	6
TM_GD30320	TM_GD30320	TM_GD110320	수질입력시스템권한	수질입력시스템권한	2
TM_GD30330	TM_GD30330	TM_GD110330	수질시스템IP권한	수질시스템IP권한	4
TM_GD30330_BU	TB_GD30330	TB_GD110330	수질시스템IP권한 백업테이블	수질시스템IP권한 백업테이블	4
TM_GD30340	TM_GD30340	TM_GD110340	국가관측망수질검사항목별기준	국가관측망수질검사항목별기준	9
TM_GD30401	TM_GD30401	TM_GD110401	수거데이터관리	수거데이터관리	9
TM_GD30701	TM_GD30701	TM_GD110701	기상관측소정보	기상관측소정보	3
TM_GD30702	TM_GD30702	TM_GD110702	기상관측소매핑정보	기상관측소매핑정보	2
TM_GD30703	TM_GD30703	TM_GD110703	기상관측소프로모드	기상관측소프로모드	3
TM_GD30704	TM_GD30704	TM_GD110704	빅데이터기상정보	빅데이터기상정보	8
TM_GD30706	TM_GD30706	TM_GD110706	빅데이터기상일자정보	빅데이터기상일자정보	3
TM_GD30707	TM_GD30707	TM_GD110707	빅데이터시리얼	빅데이터시리얼	7
TM_GD31010	TM_GD31010	TM_GD111010	이용량시설	이용량시설	69
TM_GD31011	TM_GD31011	TM_GD111011	이용이용량시설첨부파일	이용이용량시설첨부파일	6
TM_GD31012	TM_GD31012	TM_GD111012	이용량이용부담금부과시설	이용량이용부담금부과시설	18
TM_GD31013	TM_GD31013	TM_GD111013	이용량이용부담금부과시설사용량	이용량이용부담금부과시설사용량	5
TM_GD31024	TM_GD31024	TM_GD111024	이용량최근수신현황	이용량최근수신현황	2
TM_GD31025	TM_GD31025	TM_GD111025	이용량관측데이터	이용량관측데이터	4
TM_GD31030	TM_GD31030	TM_GD111030	이용량장비관리	이용량장비관리	10
