이전TABLE_NAME	NEW_TABLE_NAME	11자리TABLE_NAME	이전TAB_COMMENTS	TAB_COMMENTS_수정	이전COLUMN_NAME	환경부표준	이전COL_COMMENTS	COL_COMMENTS수정	DATA_TYPE	DATA_TYPE_수정	DATA_LENGTH	DATA_LENGTH_수정	NULLABLE	도메인논리명	도메인그룹명
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_C4H8O2	DIOX14	1,4-다이옥산(mg/ℓ)	다이옥산	VARCHAR2	VARCHAR2	25	20	Y	값_V20	수량
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_GRADIENT	TDS	경도(mg/ℓ)	경도	VARCHAR2	VARCHAR2	25	20	Y	값_V20	수량
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_KMN	PTPM_CNSM_QNT	과망간산칼륨소비량(mg/ℓ)	과망간산칼륨소비량	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_SMELL	SMLL	냄새(소독외의냄새)	냄새	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_COLOR	CRMTY	색도(도)	색도	VARCHAR2	VARCHAR2	25	25	Y	값_V20	수량
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_CU	CPPR	동동(구리)	구리	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_ABS	ABS	세제(음이온계면활성제)(mg/ℓ),알킬벤젠소디움설포네이트	알킬벤젠소디움설포네이트	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_PH	PH	수소이온농도	수소이온농도	VARCHAR2	VARCHAR2	25	10	Y	값_N10	수량
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_ZN	ZN	아연(mg/ℓ)	아연	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_CL	CRRD	염화이온(mg/ℓ)	염소이온	VARCHAR2	VARCHAR2	25	20	Y	값_V20	수량
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_FE	IRON	철(mg/ℓ)	철	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_MN	MNGN	망간(mg/ℓ)	망간	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_MUDDY	TRBT	탁도(NTU)	탁도	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_SO42	ECCBT_ION	황산이온(mg/ℓ)	황산이온	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_AL	ALMN	알루미늄(mg/ℓ)	알루미늄	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	ITEM_URAN	URAN	우라늄(mg/ℓ)	우라늄	VARCHAR2	VARCHAR2	25	20	Y	내용_V20	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	INSP_RST	ICPT_ARTCL	부적합항목	부적합항목	VARCHAR2	VARCHAR2	500	100	Y	내용_V100	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	FAIL_DESC	ICPT_ACTN_MTTR	부적합시조치사항	부적합조치사항	VARCHAR2	VARCHAR2	500	100	Y	내용_V100	내용
TD_GD20310	TD_GD20310	TD_GD010310	토양지하수(약수터) 수질검사 결과	약수터수질검사결과	SAMP_DATE	WTSMP_YMD	채수일자	채수일자	VARCHAR2	VARCHAR2	10	8	N	일_VC8	날짜/시간
